time,bid_price,ask_price,bid_size,ask_size,seq_num
2021-08-03 02:04:55.544851 UTC,229.36,229.43,1000,1000,1627942268920660301
2021-08-03 02:04:52.618809 UTC,229.4,229.43,45,1000,1627942268920660300
2021-08-03 02:04:55.544873 UTC,229.42,229.43,1000,1000,1627942268920660302
2021-08-03 02:04:59.519601 UTC,229.4,229.43,300,1000,1627942268920660314
2021-08-03 02:04:59.519619 UTC,229.43,229.47,1000,1000,1627942268920660315
2021-08-03 02:05:01.014655 UTC,229.4,229.47,300,1000,1627942268920660326
2021-08-03 02:05:01.014656 UTC,229.44,229.47,1000,1000,1627942268920660327
2021-08-03 02:05:01.110067 UTC,229.4,229.47,300,1000,1627942268920660330
2021-08-03 02:05:01.110087 UTC,229.43,229.47,1000,1000,1627942268920660331
2021-08-03 02:05:07.43965 UTC,229.4,229.47,300,1000,1627942268920660374
2021-08-03 02:05:07.439678 UTC,229.44,229.47,1000,1000,1627942268920660375
2021-08-03 02:05:13.466457 UTC,229.4,229.47,300,1000,1627942268920660447
2021-08-03 02:05:13.466476 UTC,229.45,229.47,1000,1000,1627942268920660448
2021-08-03 02:05:19.632986 UTC,229.4,229.47,300,1000,1627942268920660491
2021-08-03 02:05:19.633014 UTC,229.44,229.47,1000,1000,1627942268920660492
2021-08-03 02:05:25.482169 UTC,229.4,229.47,300,1000,1627942268920660547
2021-08-03 02:05:25.482198 UTC,229.45,229.47,1000,1000,1627942268920660548
2021-08-03 02:05:25.502313 UTC,229.36,229.47,1000,1000,1627942268920660552
2021-08-03 02:05:25.502331 UTC,229.46,229.47,1000,1000,1627942268920660553
2021-08-03 02:05:33.250932 UTC,229.4,229.47,300,1000,1627942268920660555
2021-08-03 02:05:33.250965 UTC,229.47,229.52,1000,1000,1627942268920660556
2021-08-03 02:05:33.252148 UTC,229.36,229.52,1000,1000,1627942268920660561
2021-08-03 02:05:33.252167 UTC,229.46,229.52,1000,1000,1627942268920660562
2021-08-03 02:05:33.253036 UTC,229.36,229.52,1000,1000,1627942268920660563
2021-08-03 02:05:33.253055 UTC,229.45,229.52,1000,1000,1627942268920660564
2021-08-03 02:05:33.253408 UTC,229.46,229.52,1000,1000,1627942268920660566
2021-08-03 02:05:33.253387 UTC,229.45,229.52,1000,1000,1627942268920660565
2021-08-03 02:05:36.140891 UTC,229.47,229.52,1000,1000,1627942268920660582
2021-08-03 02:05:36.140875 UTC,229.45,229.52,1000,1000,1627942268920660581
2021-08-03 02:05:41.656611 UTC,229.48,229.52,1000,1000,1627942268920660606
2021-08-03 02:05:44.272786 UTC,229.45,229.52,1000,1000,1627942268920660621
2021-08-03 02:05:44.272827 UTC,229.47,229.52,1000,1000,1627942268920660622
2021-08-03 02:05:47.141733 UTC,229.45,229.52,1000,1000,1627942268920660623
2021-08-03 02:05:47.141759 UTC,229.48,229.52,1000,1000,1627942268920660624
2021-08-03 02:05:48.17546 UTC,229.45,229.52,1000,1000,1627942268920660627
2021-08-03 02:05:48.175493 UTC,229.49,229.52,1000,1000,1627942268920660628
2021-08-03 02:05:55.102033 UTC,229.45,229.52,1000,1000,1627942268920660629
2021-08-03 02:05:55.102054 UTC,229.48,229.52,1000,1000,1627942268920660630
2021-08-03 02:05:55.659992 UTC,229.45,229.52,1000,1000,1627942268920660633
2021-08-03 02:05:55.660012 UTC,229.47,229.52,1000,1000,1627942268920660634
2021-08-03 02:05:57.801156 UTC,229.45,229.52,1000,1000,1627942268920660635
2021-08-03 02:05:57.801177 UTC,229.46,229.52,1000,1000,1627942268920660636
2021-08-03 02:05:59.063897 UTC,229.45,229.52,1000,1000,1627942268920660637
2021-08-03 02:06:01.981548 UTC,229.4,229.52,300,1000,1627942268920660639
2021-08-03 02:06:01.981568 UTC,229.46,229.52,1000,1000,1627942268920660640
2021-08-03 02:06:06.231935 UTC,229.4,229.52,300,1000,1627942268920660643
2021-08-03 02:06:06.231954 UTC,229.47,229.52,1000,1000,1627942268920660644
2021-08-03 02:06:06.360357 UTC,229.4,229.52,300,1000,1627942268920660645
2021-08-03 02:06:06.360397 UTC,229.46,229.52,1000,1000,1627942268920660646
2021-08-03 02:10:31.664728 UTC,229.46,229.53,1000,1000,1627942268920660894
2021-08-03 02:10:35.815198 UTC,229.46,229.51,1000,1000,1627942268920660899
2021-08-03 02:10:35.815812 UTC,229.46,229.53,1000,1000,1627942268920660902
2021-08-03 02:10:35.815858 UTC,229.46,229.5,1000,1000,1627942268920660903
2021-08-03 02:10:35.817552 UTC,229.46,229.53,1000,1000,1627942268920660906
2021-08-03 02:10:35.81757 UTC,229.46,229.51,1000,1000,1627942268920660907
2021-08-03 02:10:35.97102 UTC,229.46,229.53,1000,1000,1627942268920660910
2021-08-03 02:10:35.971021 UTC,229.46,229.52,1000,1000,1627942268920660911
2021-08-03 02:10:36.143567 UTC,229.46,229.53,1000,1000,1627942268920660916
2021-08-03 02:10:36.143584 UTC,229.46,229.51,1000,1000,1627942268920660917
2021-08-03 02:10:36.376942 UTC,229.46,229.53,1000,1000,1627942268920660920
2021-08-03 02:10:36.376962 UTC,229.46,229.52,1000,1000,1627942268920660921
2021-08-03 02:10:42.09513 UTC,229.46,229.53,1000,1000,1627942268920660926
2021-08-03 02:10:47.229678 UTC,229.46,229.58,1000,1000,1627942268920660930
2021-08-03 02:10:47.229699 UTC,229.46,229.54,1000,1000,1627942268920660931
2021-08-03 02:10:47.336509 UTC,229.46,229.58,1000,1000,1627942268920660937
2021-08-03 02:10:47.336529 UTC,229.46,229.55,1000,1000,1627942268920660938
2021-08-03 02:10:50.464438 UTC,229.46,229.58,1000,1000,1627942268920660940
2021-08-03 02:10:50.464458 UTC,229.46,229.56,1000,1000,1627942268920660941
2021-08-03 02:11:12.221193 UTC,229.46,229.58,1000,1000,1627942268920660942
2021-08-03 02:11:12.22122 UTC,229.46,229.55,1000,1000,1627942268920660943
2021-08-03 02:11:16.656164 UTC,229.46,229.58,1000,1000,1627942268920660944
2021-08-03 02:11:16.656188 UTC,229.46,229.54,1000,1000,1627942268920660945
2021-08-03 02:11:16.65755 UTC,229.46,229.58,1000,1000,1627942268920660947
2021-08-03 02:11:16.657571 UTC,229.46,229.55,1000,1000,1627942268920660948
2021-08-03 02:11:16.657835 UTC,229.46,229.58,1000,1000,1627942268920660949
2021-08-03 02:11:16.657864 UTC,229.46,229.54,1000,1000,1627942268920660950
2021-08-03 02:11:21.688907 UTC,229.46,229.58,1000,1000,1627942268920660952
2021-08-03 02:11:21.688924 UTC,229.46,229.55,1000,1000,1627942268920660953
2021-08-03 02:11:21.689205 UTC,229.46,229.58,1000,1000,1627942268920660954
2021-08-03 02:11:21.689222 UTC,229.46,229.54,1000,1000,1627942268920660955
2021-08-03 02:11:21.699129 UTC,229.46,229.58,1000,1000,1627942268920660956
2021-08-03 02:11:21.69915 UTC,229.46,229.55,1000,1000,1627942268920660957
2021-08-03 02:12:10.849846 UTC,229.46,229.58,1000,1000,1627942268920660958
2021-08-03 02:12:10.849866 UTC,229.46,229.54,1000,1000,1627942268920660959
2021-08-03 02:12:18.658423 UTC,229.46,229.58,1000,1000,1627942268920660965
2021-08-03 02:12:18.658441 UTC,229.46,229.53,1000,1000,1627942268920660966
2021-08-03 02:12:20.659526 UTC,229.46,229.58,1000,1000,1627942268920660972
2021-08-03 02:12:20.659542 UTC,229.46,229.52,1000,1000,1627942268920660973
2021-08-03 02:12:28.165632 UTC,229.46,229.58,1000,1000,1627942268920660984
2021-08-03 02:12:28.165661 UTC,229.46,229.51,1000,1000,1627942268920660985
2021-08-03 02:12:53.408851 UTC,229.46,229.4,1000,300,1627942268920660996
2021-08-03 02:12:55.542022 UTC,229.46,229.51,1000,1000,1627942268920660997
2021-08-03 02:12:59.164874 UTC,229.46,229.58,1000,1000,1627942268920661000
2021-08-03 02:12:59.164889 UTC,229.46,229.49,1000,1000,1627942268920661001
2021-08-03 02:12:59.266324 UTC,229.46,229.4,1000,300,1627942268920661003
2021-08-03 02:12:59.648845 UTC,229.46,229.49,1000,1000,1627942268920661004
2021-08-03 02:13:02.115537 UTC,229.46,229.58,1000,1000,1627942268920661006
2021-08-03 02:13:02.11556 UTC,229.46,229.56,1000,1000,1627942268920661007
2021-08-03 02:13:02.418347 UTC,229.46,229.58,1000,1000,1627942268920661012
